iter	RMSE
0	18.30196756
1	17.96418731
2	17.63109428
3	17.27902445
4	16.93218045
5	16.60684874
6	16.31778511
7	16.01411724
8	15.72792173
9	15.43998444
10	15.19368004
11	14.8965569
12	14.64167215
13	14.38283766
14	14.15840556
15	13.88676254
16	13.67472726
17	13.42763022
18	13.20681532
19	12.95231769
20	12.73543992
21	12.50091861
22	12.26411076
23	12.03328436
24	11.81536662
25	11.60608761
26	11.39346882
27	11.18496027
28	10.98751989
29	10.81095152
30	10.62165383
31	10.4365788
32	10.25423437
33	10.06955874
34	9.8755613
35	9.720288761
36	9.534232247
37	9.388163196
38	9.227291069
39	9.05382855
40	8.907235125
41	8.751253886
42	8.596518704
43	8.451229227
44	8.320663481
45	8.173112391
46	8.027548086
47	7.877013251
48	7.744886207
49	7.606714808
50	7.464578847
51	7.345100375
52	7.207131585
53	7.07523327
54	6.956729738
55	6.839350411
56	6.713879299
57	6.58738256
58	6.474566929
59	6.362734137
60	6.2732859
61	6.168565104
62	6.065725359
63	5.958028632
64	5.862407157
65	5.754401344
66	5.675942451
67	5.579627292
68	5.487236692
69	5.395764392
70	5.297670706
71	5.206555519
72	5.112247866
73	5.029702333
74	4.952892551
75	4.871491348
76	4.789230856
77	4.704133024
78	4.620648736
79	4.536431184
80	4.455076061
81	4.384100394
82	4.323563677
83	4.250472186
84	4.175695292
85	4.099982177
86	4.038841049
87	3.970961782
88	3.914149487
89	3.854695834
90	3.796294624
91	3.739828699
92	3.681239946
93	3.628520053
94	3.563152805
95	3.501561
96	3.44585566
97	3.392593842
98	3.346435352
99	3.288364367
100	3.234377019
101	3.180371214
102	3.126482975
103	3.077858172
104	3.030735185
105	2.978389803
106	2.936523646
107	2.889270271
108	2.844130404
109	2.794819297
110	2.749212991
111	2.709074397
112	2.665642069
113	2.625577904
114	2.585468993
115	2.546901902
116	2.506092833
117	2.470796405
118	2.434752924
119	2.402867883
120	2.363787593
121	2.327129407
122	2.294723561
123	2.258130355
124	2.225578396
125	2.191362133
126	2.159748506
127	2.126361219
128	2.094423553
129	2.062418886
130	2.033242191
131	2.004617098
132	1.983139777
133	1.956438136
134	1.928927527
135	1.899502665
136	1.871976395
137	1.845697548
138	1.819988202
139	1.79338197
140	1.772192902
141	1.747876846
142	1.7262832
143	1.706142721
144	1.684828862
145	1.664244397
146	1.644515606
147	1.623034637
148	1.601549991
149	1.583078337
150	1.565084187
151	1.546252338
152	1.526633868
153	1.506351554
154	1.489853858
155	1.470285006
156	1.453543874
157	1.434794403
158	1.419745144
159	1.404118982
160	1.38974896
161	1.374628724
162	1.360668038
163	1.34782617
164	1.332473432
165	1.320697016
166	1.307646543
167	1.293824605
168	1.278659802
169	1.265253568
170	1.252474372
171	1.239478893
172	1.226316788
173	1.213540996
174	1.202325571
175	1.19071181
176	1.178337029
177	1.166831642
178	1.155513602
179	1.144855452
180	1.133715144
181	1.121632623
182	1.110981725
183	1.100001205
184	1.089238717
185	1.077809778
186	1.067999892
187	1.056786379
188	1.04723885
189	1.037677841
190	1.02883699
191	1.020010251
192	1.011339417
193	1.002151553
194	0.9935766789
195	0.986315635
196	0.9763295191
197	0.9676414396
198	0.959650753
199	0.9523822459
200	0.9442030883
201	0.9372388945
202	0.9301106299
203	0.92237536
204	0.9165079082
205	0.9087106207
206	0.9015240536
207	0.8945119699
208	0.8906012494
209	0.8832169386
210	0.8768790317
211	0.8702003079
212	0.8651516101
213	0.858317874
214	0.8522092438
215	0.8457733223
216	0.83923518
217	0.8339119393
218	0.8271382075
219	0.8215118936
220	0.8158999376
221	0.8108167325
222	0.8060001385
223	0.8014169189
224	0.7969787173
225	0.7914711058
226	0.7859269334
227	0.7806867981
228	0.7763474794
229	0.7697066488
230	0.7658050327
231	0.7606446074
232	0.7580363753
233	0.7527630426
234	0.7477752674
235	0.7436997131
236	0.7396274423
237	0.7368751098
238	0.7343939084
239	0.7292406435
240	0.7258105301
241	0.7236214163
242	0.7199345277
243	0.7164163715
244	0.7133818901
245	0.71111082
246	0.7085245198
247	0.7033533999
248	0.6981535814
249	0.6964036969
250	0.6939512182
251	0.6905377736
252	0.6881769361
253	0.6854995024
254	0.6835222652
255	0.6814385455
256	0.6772676434
257	0.6755073199
258	0.6733549657
259	0.670872206
260	0.6685526277
261	0.6667308428
262	0.6651579309
263	0.6634010325
264	0.6613220936
265	0.6574745125
266	0.6536643058
267	0.6504565047
268	0.6485355025
269	0.6467233614
270	0.6451869144
271	0.6433324919
272	0.6414675331
273	0.6394532087
274	0.6360868732
275	0.6345136774
276	0.6330699312
277	0.6314655825
278	0.6297478367
279	0.6281736042
280	0.6248772122
281	0.6234646382
282	0.6217934003
283	0.6203300065
284	0.6188402034
285	0.6176214346
286	0.6160485313
287	0.6142168576
288	0.6124377747
289	0.6110613267
290	0.6098608131
291	0.6084592416
292	0.6067430513
293	0.6054371958
294	0.6037814335
295	0.6025047047
296	0.6008668833
297	0.5994663461
298	0.5983595706
299	0.5970891777
300	0.5958047958
301	0.5942827329
302	0.5930876244
303	0.5916561051
304	0.5904517536
305	0.5894246861
306	0.5879009053
307	0.5867790629
308	0.5839722832
309	0.5828706894
310	0.5817559469
311	0.5806391926
312	0.5795356963
313	0.5784836542
314	0.57744366
315	0.5764152392
316	0.5751990127
317	0.5741912642
318	0.5731950249
319	0.5718391865
320	0.5705215741
321	0.567893838
322	0.5669372433
323	0.5644097993
324	0.5634729523
325	0.5625466135
326	0.5616211625
327	0.5607158263
328	0.5598195479
329	0.558902974
330	0.5580164029
331	0.5571521383
332	0.5559580594
333	0.5550830557
334	0.5542185882
335	0.5533934626
336	0.5525658625
337	0.5517570314
338	0.5509508962
339	0.5501513373
340	0.5493451467
341	0.5485756103
342	0.547803438
343	0.5470402135
344	0.5462599168
345	0.5455145657
346	0.544752619
347	0.5440266026
348	0.5429737961
349	0.5420258609
350	0.5413328573
351	0.5406371523
352	0.5399510384
353	0.5392713155
354	0.5385995213
355	0.537945753
356	0.537297396
357	0.5366485659
358	0.5357757723
359	0.5351517958
360	0.5345250725
361	0.5338947144
362	0.5330572848
363	0.5324521826
364	0.53185418
365	0.5312435572
366	0.5306597304
367	0.5300827611
368	0.527304
369	0.524579242
370	0.5240259762
371	0.5234702875
372	0.5229211286
373	0.5223784254
374	0.5218421046
375	0.5191896775
376	0.5186463103
377	0.518124181
378	0.5155307344
379	0.5150205885
380	0.5125097058
381	0.5120093202
382	0.5115148276
383	0.510720403
384	0.5082414205
385	0.5077617662
386	0.5072877701
387	0.5068193679
388	0.5043992692
389	0.5039397699
390	0.5034856975
391	0.5030369902
392	0.502593587
393	0.5002342106
394	0.4997940366
395	0.4970406458
396	0.4966150197
397	0.4937376625
398	0.4930280324
399	0.4926153333
400	0.4922075301
401	0.4917983407
402	0.4914000737
403	0.488622338
404	0.4882317747
405	0.4878458573
406	0.4851525216
407	0.4847475887
408	0.4843738093
409	0.4825857252
410	0.4819450942
411	0.4815830521
412	0.4794684358
413	0.4791138849
414	0.4787635693
415	0.4783916279
416	0.4758477941
417	0.4752461609
418	0.4746548291
419	0.4740736036
420	0.4735022934
421	0.4729407117
422	0.4723886753
423	0.4703707104
424	0.4698325113
425	0.4694987509
426	0.4675258331
427	0.4671987621
428	0.4666818052
429	0.4663627799
430	0.4644360489
431	0.4637550657
432	0.4632636774
433	0.462780643
434	0.4621326608
435	0.4616662177
436	0.4612076553
437	0.4593464912
438	0.4587361857
439	0.4582969917
440	0.4580146537
441	0.4577359886
442	0.4561778347
443	0.4555991525
444	0.4551838975
445	0.4547756364
446	0.4545120928
447	0.4529885531
448	0.4527302556
449	0.4512328676
450	0.4506943318
451	0.4497995333
452	0.4495519104
453	0.4486791675
454	0.4472103064
455	0.4469701095
456	0.4455263757
457	0.4451644836
458	0.4448087294
459	0.4445789268
460	0.4429149845
461	0.4424426087
462	0.4421047483
463	0.4418849285
464	0.4404973239
465	0.4402818823
466	0.4400692506
467	0.4387067727
468	0.4382638921
469	0.4378313732
470	0.4375220564
471	0.4373210146
472	0.4359880011
473	0.435790971
474	0.4355965132
475	0.43428751
476	0.4340969322
477	0.4325763543
478	0.4321773464
479	0.4319928523
480	0.4316054345
481	0.4313291303
482	0.4311513831
483	0.42989216
484	0.4295228508
485	0.4293507278
486	0.4281652836
487	0.4279966238
488	0.4278301672
489	0.426664437
490	0.4265013288
491	0.4253537983
492	0.4249722369
493	0.4235683955
494	0.4224524492
495	0.4220805649
496	0.4209801681
497	0.4198959055
498	0.4188275335
499	0.4184649086
500	0.4171453332
501	0.4161064174
502	0.4157530736
503	0.4147286646
504	0.413719314
505	0.4127247929
506	0.4115835361
507	0.4112485798
508	0.4111098835
509	0.4101391506
510	0.4098157561
511	0.4085976257
512	0.407653706
513	0.4073386876
514	0.4064080268
515	0.4054910558
516	0.4045875663
517	0.403565108
518	0.4034380977
519	0.4031412867
520	0.4022594495
521	0.4021365231
522	0.4007913801
523	0.3998210552
524	0.3989624146
525	0.3980050566
526	0.3971575355
527	0.3962072043
528	0.3952905615
529	0.3951749351
530	0.3942917008
531	0.3941785221
532	0.3940668525
533	0.3931179423
534	0.3921832352
535	0.3908825723
536	0.3900305513
537	0.3892088393
538	0.3891023566
539	0.3889972949
540	0.3882064874
541	0.3881036508
542	0.3870555835
543	0.3862930364
544	0.3861929702
545	0.3860942399
546	0.385996827
547	0.3848267051
548	0.384095142
549	0.3833897184
550	0.3832950953
551	0.3832017365
552	0.3821868082
553	0.381507401
554	0.3813829998
555	0.3812608664
556	0.3801304201
557	0.3794770257
558	0.3793569058
559	0.3783743123
560	0.3773586311
561	0.3767277733
562	0.3761195519
563	0.3760042149
564	0.3758909956
565	0.374943544
566	0.3739654766
567	0.3733785165
568	0.3732696393
569	0.3723560183
570	0.371413289
571	0.3708467484
572	0.3707420534
573	0.3701961076
574	0.3700935171
575	0.3692127275
576	0.3683050501
577	0.367778179
578	0.3676795497
579	0.3668303084
580	0.3660572265
581	0.3655533222
582	0.3654579189
583	0.3646229195
584	0.3637636915
585	0.3632774744
586	0.3631857748
587	0.3626048026
588	0.36200274
589	0.3614357302
590	0.3608818768
591	0.3603408317
592	0.3597479159
593	0.3592197186
594	0.3587036528
595	0.3581111941
596	0.357759697
597	0.3571827599
598	0.3566132562
599	0.3562689923
600	0.3550646767
601	0.3545005808
602	0.3539437301
603	0.3533940117
604	0.3528513153
605	0.352402527
606	0.3520646643
607	0.3513776604
608	0.3508414428
609	0.3501632709
610	0.3494944772
611	0.3488749204
612	0.3482145251
613	0.3476017574
614	0.3464721802
615	0.3458652741
616	0.3452658375
617	0.3446737689
618	0.3440889685
619	0.343511338
620	0.3429407814
621	0.3423772038
622	0.3417263615
623	0.3411688559
624	0.3400596924
625	0.3395074434
626	0.3389619359
627	0.3382754648
628	0.3376372934
629	0.3365566538
630	0.3358785962
631	0.3352551517
632	0.3342053205
633	0.3336736548
634	0.3324725677
635	0.3318677663
636	0.3312713428
637	0.330683185
638	0.3300139815
639	0.3289101722
640	0.3283306834
641	0.327759239
642	0.3272680616
643	0.3267099519
644	0.3262295023
645	0.3257543221
646	0.3246835021
647	0.3241663683
648	0.32369729
649	0.3229027917
650	0.322241733
651	0.3217761822
652	0.320743
653	0.3202309275
654	0.3197287649
655	0.3189330153
656	0.3182850923
657	0.3177902947
658	0.3171066683
659	0.316620124
660	0.3159823977
661	0.3153462309
662	0.3148099594
663	0.3143497188
664	0.3137185276
665	0.3131017786
666	0.312483954
667	0.3116363636
668	0.3111820476
669	0.3107327065
670	0.3101181976
671	0.3095202269
672	0.308692896
673	0.3080897547
674	0.3076462437
675	0.3071453232
676	0.3061652076
677	0.3056839124
678	0.305086519
679	0.3045070795
680	0.3035473568
681	0.3030718979
682	0.3026326639
683	0.3020479046
684	0.3012994974
685	0.3007348092
686	0.3001786412
687	0.2993883331
688	0.2988224035
689	0.2983501969
690	0.2979169878
691	0.2973557362
692	0.2964966592
693	0.2959578307
694	0.2955265289
695	0.2947580042
696	0.2942894571
697	0.2937388537
698	0.2933146129
699	0.2927859008
700	0.2919464338
701	0.2915248625
702	0.2910258723
703	0.2906081294
704	0.2903041242
705	0.289559993
706	0.2890755165
707	0.2886649191
708	0.2883653082
709	0.2876376305
710	0.2871601097
711	0.2867565356
712	0.2859438628
713	0.2854386013
714	0.2850375929
715	0.2847345347
716	0.2840290275
717	0.2835600886
718	0.2832716554
719	0.2828770955
720	0.2824136884
721	0.2816233808
722	0.2812313939
723	0.280740554
724	0.280352127
725	0.2796705705
726	0.279218333
727	0.2789263439
728	0.2785850295
729	0.2781176214
730	0.2777347651
731	0.2769613303
732	0.2765815941
733	0.2762033295
734	0.275761207
735	0.2754259614
736	0.2749690661
737	0.2745912504
738	0.2739294902
739	0.2734947488
740	0.273126258
741	0.272473097
742	0.2721433292
743	0.2716975774
744	0.2713283939
745	0.2710422242
746	0.2706158252
747	0.2702496948
748	0.2694915403
749	0.2691683739
750	0.2688082455
751	0.2683712011
752	0.2680064961
753	0.2676457573
754	0.2670138231
755	0.2665937194
756	0.2662431264
757	0.2659251453
758	0.2654991178
759	0.2648789169
760	0.2645646119
761	0.2642249426
762	0.2638166612
763	0.2634002138
764	0.2630416407
765	0.2624184283
766	0.2620136995
767	0.261661629
768	0.2612183455
769	0.2604843793
770	0.2601780554
771	0.2598455676
772	0.2595430983
773	0.2591249835
774	0.2587731814
775	0.2584252124
776	0.2578193769
777	0.2574038591
778	0.2568151108
779	0.2564088879
780	0.2560073424
781	0.2557062158
782	0.2553620369
783	0.2549642792
784	0.2543687678
785	0.2539745758
786	0.253636053
787	0.2530731864
788	0.2526539221
789	0.2522674796
790	0.2519306841
791	0.2513501867
792	0.2509666711
793	0.2504199376
794	0.2501182646
795	0.2497429825
796	0.249453764
797	0.2490824749
798	0.2487490074
799	0.2484628686
800	0.2481717314
801	0.2478035793
802	0.2474724881
803	0.2469257582
804	0.2463635551
805	0.2460744293
806	0.2455228909
807	0.2451598799
808	0.2446875731
809	0.2443596754
810	0.2437290663
811	0.2433679038
812	0.2430108659
813	0.2426874343
814	0.2421567574
815	0.2416908961
816	0.2413695545
817	0.2410792081
818	0.2407273831
819	0.2404087206
820	0.2397962427
821	0.2393387643
822	0.2390248662
823	0.2386743694
824	0.2383634513
825	0.2377429409
826	0.2374609456
827	0.2370073449
828	0.2366980251
829	0.2363921188
830	0.2361124315
831	0.2357673256
832	0.235176002
833	0.2348991618
834	0.234556585
835	0.2342541486
836	0.2339550513
837	0.2334617843
838	0.2330118373
839	0.2325702068
840	0.2322941943
841	0.2320135318
842	0.2316758181
843	0.2313769584
844	0.2308561603
845	0.2305210313
846	0.2302275917
847	0.2297265902
848	0.229287682
849	0.2289961569
850	0.2287157283
851	0.2283855384
852	0.2280964553
853	0.2275362183
854	0.2271052278
855	0.2268204401
856	0.2265494144
857	0.2262202278
858	0.2257466685
859	0.22531983
860	0.2250508793
861	0.2246313398
862	0.2243468114
863	0.2240654332
864	0.2237986645
865	0.2235273839
866	0.2232025527
867	0.2227163961
868	0.2223008646
869	0.222020249
870	0.2217427439
871	0.2212535051
872	0.2209330167
873	0.2206605478
874	0.2200921902
875	0.2198204995
876	0.2194081112
877	0.2191370508
878	0.2186613478
879	0.2180889967
880	0.217826186
881	0.2175095318
882	0.216834232
883	0.2165736956
884	0.2163088959
885	0.2159941733
886	0.2154414175
887	0.21498912
888	0.2146873882
889	0.2143921277
890	0.2141283851
891	0.2138389778
892	0.2135782433
893	0.21330607
894	0.2129762562
895	0.2126380986
896	0.2124559241
897	0.2122759918
898	0.2118617911
899	0.2115531695
900	0.2113749001
901	0.2109662927
902	0.2107899054
903	0.2103874847
904	0.210080531
905	0.2099057641
906	0.2092871474
907	0.2090076376
908	0.2087339865
909	0.2084093863
910	0.2081350664
911	0.2078138605
912	0.2076406699
913	0.2072473997
914	0.2070760501
915	0.206688749
916	0.206388031
917	0.2059578445
918	0.2056878806
919	0.2053745427
920	0.205101066
921	0.2047911436
922	0.2044848186
923	0.2041972806
924	0.2038940767
925	0.2035943909
926	0.2034230135
927	0.203253742
928	0.2028669859
929	0.2026326433
930	0.2024650037
931	0.2020837255
932	0.2017085041
933	0.2014785414
934	0.2013122476
935	0.2009423279
936	0.2006589547
937	0.2004942072
938	0.2001292903
939	0.1999005656
940	0.1997373939
941	0.1991786575
942	0.1989163778
943	0.1986337397
944	0.1983767309
945	0.1982154934
946	0.1979466119
947	0.197649064
948	0.1972926899
949	0.1971327081
950	0.1967817355
951	0.1965549958
952	0.1962761465
953	0.1961174962
954	0.1957796308
955	0.1956227136
956	0.1952214696
957	0.1949457636
958	0.1947197427
959	0.1944691262
960	0.1941771521
961	0.193888567
962	0.1936244539
963	0.1933390103
964	0.1930568834
965	0.1929004817
966	0.1927459934
967	0.1924099106
968	0.192257117
969	0.192106189
970	0.1917751562
971	0.1914674078
972	0.1913179449
973	0.1911703015
974	0.1909094695
975	0.190689961
976	0.1904309916
977	0.1901053405
978	0.18995879
979	0.1895741726
980	0.1893032374
981	0.1890847359
982	0.1888687397
983	0.1886220855
984	0.188325334
985	0.1881110652
986	0.1879655124
987	0.187722953
988	0.187475615
989	0.1871943056
990	0.1869143689
991	0.1866520265
992	0.1864132029
993	0.18613719
994	0.1858599576
995	0.1855866674
996	0.1852984554
997	0.1851566124
998	0.1849130948
999	0.1846587975
