iter	Passed	Remaining
0	91	91453
1	92	46322
2	94	31314
3	95	23804
4	96	19250
5	97	16216
6	99	14076
7	100	12481
8	102	11241
9	103	10230
10	104	9375
11	105	8670
12	106	8097
13	108	7613
14	109	7187
15	110	6813
16	113	6541
17	114	6269
18	116	6014
19	117	5780
20	118	5546
21	120	5350
22	121	5170
23	123	5007
24	124	4862
25	125	4710
26	127	4589
27	128	4462
28	129	4351
29	131	4246
30	132	4147
31	134	4053
32	135	3967
33	137	3898
34	138	3820
35	140	3750
36	141	3681
37	142	3617
38	144	3553
39	145	3493
40	147	3447
41	148	3392
42	150	3342
43	151	3292
44	152	3244
45	154	3203
46	155	3151
47	156	3108
48	158	3067
49	159	3024
50	160	2992
51	162	2957
52	163	2923
53	165	2891
54	166	2861
55	167	2831
56	169	2800
57	170	2768
58	171	2738
59	173	2719
60	174	2693
61	177	2679
62	178	2651
63	179	2624
64	180	2597
65	182	2581
66	183	2559
67	185	2538
68	186	2517
69	187	2493
70	189	2474
71	190	2455
72	192	2444
73	194	2434
74	195	2413
75	197	2401
76	198	2383
77	200	2367
78	201	2347
79	202	2331
80	204	2316
81	205	2296
82	206	2276
83	207	2262
84	208	2246
85	209	2228
86	211	2214
87	212	2201
88	213	2183
89	214	2170
90	216	2159
91	217	2147
92	219	2135
93	220	2127
94	222	2119
95	223	2109
96	225	2102
97	227	2091
98	228	2080
99	229	2068
100	231	2058
101	232	2047
102	233	2035
103	235	2025
104	236	2016
105	237	2007
106	239	1998
107	240	1989
108	242	1980
109	243	1968
110	244	1956
111	245	1949
112	247	1941
113	248	1933
114	250	1924
115	251	1919
116	253	1913
117	254	1905
118	256	1896
119	257	1890
120	259	1883
121	260	1875
122	262	1868
123	263	1860
124	264	1851
125	265	1844
126	267	1841
127	269	1832
128	270	1823
129	271	1815
130	272	1808
131	274	1803
132	276	1804
133	278	1797
134	280	1795
135	281	1789
136	283	1786
137	285	1780
138	286	1774
139	287	1768
140	289	1762
141	291	1759
142	292	1753
143	293	1746
144	295	1740
145	297	1738
146	298	1733
147	300	1728
148	301	1723
149	303	1718
150	304	1710
151	305	1703
152	307	1699
153	308	1692
154	310	1690
155	311	1684
156	312	1679
157	314	1677
158	315	1669
159	317	1665
160	318	1660
161	320	1655
162	321	1650
163	322	1645
164	324	1640
165	325	1635
166	326	1630
167	328	1625
168	329	1620
169	331	1616
170	332	1611
171	333	1607
172	335	1603
173	337	1599
174	338	1595
175	339	1591
176	341	1587
177	342	1583
178	344	1578
179	346	1578
180	348	1575
181	350	1573
182	351	1568
183	352	1564
184	353	1558
185	354	1553
186	356	1549
187	358	1547
188	359	1541
189	360	1536
190	361	1532
191	363	1528
192	364	1524
193	366	1520
194	367	1516
195	368	1513
196	370	1510
197	371	1506
198	373	1501
199	374	1498
200	376	1494
201	377	1491
202	378	1487
203	380	1483
204	381	1479
205	383	1477
206	384	1474
207	386	1469
208	387	1467
209	389	1463
210	391	1462
211	392	1458
212	393	1455
213	395	1451
214	396	1447
215	397	1444
216	399	1441
217	400	1438
218	402	1435
219	404	1432
220	405	1429
221	407	1427
222	408	1424
223	410	1421
224	411	1417
225	413	1414
226	414	1411
227	417	1413
228	419	1410
229	420	1408
230	421	1403
231	423	1400
232	424	1398
233	426	1395
234	427	1391
235	429	1390
236	430	1387
237	432	1384
238	434	1382
239	435	1380
240	436	1375
241	438	1372
242	439	1370
243	441	1366
244	442	1362
245	443	1359
246	445	1357
247	446	1355
248	448	1352
249	449	1349
250	451	1346
251	452	1342
252	453	1338
253	454	1336
254	456	1333
255	457	1330
256	459	1329
257	461	1326
258	462	1323
259	464	1322
260	466	1319
261	467	1317
262	469	1314
263	470	1312
264	472	1309
265	474	1308
266	475	1305
267	477	1302
268	478	1300
269	479	1297
270	480	1292
271	482	1291
272	484	1289
273	485	1285
274	486	1282
275	487	1279
276	488	1275
277	490	1272
278	491	1270
279	493	1267
280	494	1264
281	495	1261
